"Timestamp","BTOffset","Init_Angles","GraspSteps","CumulativeReward","checkpointVisitedTimes","Vaild_CP","First_CP_Step"
"2024-10-03 08:55:23","-0.01154304,0.05202651,0.1377976","5.913197,17.95782,33.84198,19.27201,40.85021,25.2943","24","0.4135498","34,34,34,34,34,34,32,32,32,25,15,1,0","10","3"
"2024-10-03 08:55:37","-0.0003719239,0.02707591,0.1327982","14.44763,21.72293,28.32775,27.8262,61.15852,6.646708","15","0.3024","48,47,47,47,47,47,47,41,23,7,1,0,0","8","3"
"2024-10-03 08:55:51","-0.01119193,0.04683195,0.134401","13.26658,22.04692,27.62009,28.2825,52.93024,5.278392","16","0.4797997","35,35,35,35,35,35,35,35,34,26,18,2,1","11","16"
"2024-10-03 08:56:05","0.01105278,-0.01815948,0.1341885","16.044,50.63253,-6.591928,24.99479,7.425205,-12.70848","13","0.1727","47,46,46,46,44,43,35,19,4,1,0,0,0","7","4"
"2024-10-03 08:56:18","-0.01558048,0.04258092,0.1200706","0.02387557,16.51041,35.60697,29.88985,58.60808,12.7552","13","0.24685","33,33,32,31,31,30,30,29,21,9,1,0,0","9","2"
"2024-10-03 08:56:31","0.007366049,-0.03920077,0.1248812","9.336588,47.44688,-11.04378,34.38813,54.90276,-55.2458","10","0.07785","32,31,31,31,29,28,11,4,1,0,0,0,0","6","5"
"2024-10-03 08:56:45","-0.00368766,0.02308115,0.130632","-5.444238,18.63584,32.20179,22.09153,58.42921,6.323801","15","0.31605","48,48,48,48,47,47,47,45,7,0,0,0,0","8","3"
"2024-10-03 08:57:00","0.00924453,-0.02971696,0.1269182","11.0546,45.03235,-3.981361,52.96093,39.92206,-55.86358","22","0.14155","39,39,39,38,37,34,24,9,0,0,0,0,0","7","4"
"2024-10-03 08:57:12","-0.002812739,-0.01230926,0.1433844","-12.46452,27.33757,20.82369,23.78233,43.25335,-6.298736","6","0.17645","49,49,49,49,48,47,25,7,0,0,0,0,0","7","2"
"2024-10-03 08:57:25","-0.001904229,0.04240394,0.1357902","11.61315,21.23079,28.93616,29.04827,45.3206,17.78575","12","0.4692998","48,48,48,48,47,47,47,47,42,27,3,1,0","10","3"
"2024-10-03 08:57:41","0.002324368,0.03402968,0.1419246","-12.82607,22.18636,25.71607,14.22782,52.41147,9.185702","24","0.31525","48,48,48,48,48,48,47,43,4,0,0,0,0","8","3"
"2024-10-03 08:57:55","0.005198677,0.02670957,0.1303677","17.73516,20.64817,29.81436,29.6679,46.65033,15.91187","20","0.2947","47,47,47,47,47,47,47,38,20,5,0,0,0","8","4"
"2024-10-03 08:58:08","0.003993258,0.03625141,0.1334813","11.08305,18.72056,32.05516,27.88274,50.23325,15.96357","9","0.3192","47,47,47,47,47,47,47,43,12,0,0,0,0","8","4"
"2024-10-03 08:58:21","-0.0187587,0.04453881,0.1345046","0.6915532,14.6588,37.46097,30.30244,52.10128,18.35388","9","0.4087499","45,45,45,45,45,44,44,43,23,9,8,0,0","9","3"
"2024-10-03 08:58:33","0.000677736,0.02462427,0.1406584","-4.058794,23.90202,24.85863,17.93854,45.33881,10.0762","8","0.2300999","48,48,48,48,48,47,46,11,1,0,0,0,0","7","3"
"2024-10-03 08:58:46","0.01118244,0.03257552,0.1255177","-2.141268,19.28278,30.82582,24.41954,60.41502,5.866427","13","0.14865","26,26,26,26,25,25,23,18,5,1,1,1,1","8","3"
"2024-10-03 08:59:01","0.004072776,0.047424,0.1397936","19.24861,22.16831,28.04189,29.41393,39.48024,23.62592","17","0.3251998","29,29,29,29,29,29,29,29,25,19,8,1,0","10","4"
"2024-10-03 08:59:15","-0.004517335,0.03214178,0.1420223","3.326952,20.28972,30.14707,21.6039,42.09422,20.19525","19","0.3086999","48,48,48,48,47,47,47,42,5,0,0,0,0","8","3"
"2024-10-03 08:59:31","-0.002450528,0.0461572,0.1305935","14.28092,26.06723,22.70721,24.73498,43.44855,-9.002602","25","0.3334499","41,41,41,41,41,40,40,39,29,8,4,2,0","9","4"
"2024-10-03 08:59:45","0.002110697,-0.04636482,0.1223816","6.708107,46.32515,-5.566663,34.60597,28.75277,-37.58231","17","0.00935","12,12,11,11,7,3,2,0,0,0,0,0,0","5","7"
"2024-10-03 09:00:01","0.0002700086,0.02315073,0.1395618","10.64107,32.62889,12.2092,24.79788,46.35427,-18.34526","26","0.2138499","47,47,47,47,47,47,47,7,0,0,0,0,0","7","4"
"2024-10-03 09:00:14","0.00891907,0.04850789,0.1323489","14.66113,22.75263,26.07059,28.77813,52.28074,8.59871","10","0.61175","46,46,46,46,46,46,45,43,41,35,21,3,0","10","4"
"2024-10-03 09:00:27","-0.01349717,0.02829899,0.1400891","7.471923,16.44417,34.97792,27.07763,44.64193,21.53738","10","0.24605","48,47,47,47,47,47,47,27,6,0,0,0,0","8","3"
"2024-10-03 09:00:40","-0.01135858,0.04089966,0.1406144","10.27372,18.64025,32.29041,32.69664,48.71673,14.2621","10","0.3322","47,47,47,47,47,47,47,47,24,6,0,0,0","9","4"
"2024-10-03 09:00:52","-0.01763262,0.04419945,0.1323997","-2.692572,15.00963,36.88919,31.27507,56.66763,15.3127","9","0.3667499","39,39,39,39,38,38,38,37,35,9,3,1,0","9","3"
"2024-10-03 09:01:05","-0.01703019,0.0441884,0.1216442","6.888551,13.79527,38.88145,34.71009,56.86397,14.17434","8","0.4385998","48,48,48,48,47,47,47,47,39,8,4,1,0","9","3"
"2024-10-03 09:01:19","-0.01662076,0.03699813,0.1385324","8.509786,14.57884,36.57502,35.04722,56.91489,13.21899","16","0.3827999","47,47,47,47,47,47,46,45,27,4,0,0,0","9","4"
"2024-10-03 09:01:31","-0.008136652,0.01215039,0.1426995","16.78596,21.80204,29.00231,13.52493,34.36911,32.5001","9","0.17965","47,47,47,47,47,47,31,4,0,0,0,0,0","7","4"
"2024-10-03 09:01:46","-0.01165135,0.03017529,0.1382207","-14.37411,14.9875,36.37732,25.13958,63.41046,7.470104","19","0.2045","30,30,30,30,30,30,28,28,6,2,1,0,0","8","21"
"2024-10-03 09:02:03","-0.01129462,-0.02146627,0.1418788","26.3518,25.61415,23.51908,23.50621,40.51142,-3.761936","33","0.09100002","46,45,45,45,45,29,17,5,2,1,0,0,0","6","4"
"2024-10-03 09:02:17","0.006469817,0.03515903,0.1448435","9.865605,24.73238,23.40592,26.74718,44.05088,11.95307","13","0.3171999","48,48,47,47,47,47,47,46,17,7,0,0,0","8","3"
"2024-10-03 09:02:29","-0.01150598,0.03525314,0.1322443","-9.264934,19.47518,30.29844,22.49346,57.65262,12.2262","8","0.3201","48,48,48,48,48,47,47,46,4,0,0,0,0","8","3"
"2024-10-03 09:02:43","-0.001387757,-0.01832894,0.1352373","20.89662,44.53027,5.840353,28.28219,-5.029119,-19.08096","14","0.1215","46,46,46,45,45,45,16,6,1,0,0,0,0","6","5"
"2024-10-03 09:02:55","-0.01978382,0.04798619,0.1343061","-1.549009,15.40364,35.9432,33.21396,56.30064,12.6434","9","0.4088998","41,41,41,41,41,40,39,39,36,11,6,2,1","9","3"
"2024-10-03 09:03:10","-0.01682526,0.03695366,0.1419965","3.534198,17.91383,32.88756,28.36776,46.5565,19.50179","21","0.32095","48,48,48,48,47,47,47,46,11,3,0,0,0","8","3"
"2024-10-03 09:03:25","0.006993678,0.01202078,0.135995","9.81823,12.07142,40.26945,25.91393,50.6474,19.48693","21","0.1897999","40,40,40,40,40,40,29,20,5,3,2,1,0","7","5"
"2024-10-03 09:03:39","0.002993201,0.03522249,0.1338468","11.11721,14.36484,36.34349,22.44369,55.62982,16.43514","13","0.4217998","47,47,47,47,47,47,47,47,36,12,1,0,0","9","4"
"2024-10-03 09:03:51","-0.01412738,0.04118159,0.1318099","-5.822586,17.77766,32.47842,24.74306,56.80473,14.70872","8","0.24655","26,26,26,26,26,24,24,22,20,16,3,1,1","10","3"
"2024-10-03 09:04:04","-0.009173934,0.03280165,0.1277465","0.1044733,18.4094,32.13181,28.20899,59.40675,11.59538","11","0.30205","46,46,46,46,45,45,45,43,14,0,0,0,0","8","3"
"2024-10-03 09:04:31","-0.01274018,0.04663436,0.1353153","1.086337,17.06262,34.10412,33.1836,52.6225,13.65915","30","0.4338998","46,46,46,46,45,43,43,43,41,12,3,0,0","9","2"
"2024-10-03 09:04:44","-0.001058673,0.046235,0.1156439","5.990301,16.54708,34.79357,29.349,55.27353,14.36396","11","0.3094","32,32,32,32,32,31,31,31,21,9,3,0,0","9","3"
"2024-10-03 09:04:57","-0.007174604,0.04248533,0.1388015","1.805162,20.87836,29.73084,16.64429,38.15505,26.49774","11","0.4113999","48,48,48,48,48,47,47,47,31,4,0,0,0","9","3"
"2024-10-03 09:05:13","0.003036076,0.04775171,0.1293742","5.754037,21.83479,26.74209,21.51985,53.08863,10.46573","23","0.4707998","48,48,48,48,47,47,47,47,44,25,2,0,0","10","3"
"2024-10-03 09:05:26","-0.01026382,-0.03081407,0.1322946","5.068127,40.54058,0.4177333,36.06437,46.826,-43.18047","14","0.1106","47,47,47,47,44,36,15,3,1,0,0,0,0","6","4"
"2024-10-03 09:05:41","-0.006429992,0.02801554,0.144032","2.258678,17.44053,33.14106,30.82463,48.50595,17.77451","21","0.20115","44,44,43,43,43,43,41,25,13,4,2,0,0","8","3"
"2024-10-03 09:05:55","-0.00636836,0.02811753,0.1304479","-4.909958,10.74055,42.54679,30.647,61.40665,13.83756","17","0.30765","45,45,45,45,45,45,45,42,14,0,0,0,0","8","6"
